Feature,Index,SubIndex,Value
Feature 10002,4, death,1.9256037473678589
Feature 10002,4, the,1.6377922296524048
Feature 10007,30, there,0.7220474481582642
Feature 10008,12,anned,1.3070170879364014
Feature 1001,1,7,3.481142520904541
Feature 10011,11,uz,1.5922563076019287
Feature 10011,16, Than,0.6970826387405396
Feature 10011,34,H,2.591537952423096
Feature 10011,34,TB,0.669442355632782
Feature 10011,47, Ill,0.7452197074890137
Feature 10014,3, and,1.5195070505142212
Feature 10014,16, and,1.7269114255905151
Feature 10014,19, and,3.124201774597168
Feature 10014,20, and,2.643376588821411
Feature 10014,30, and,3.7583067417144775
Feature 10014,44, and,1.1321732997894287
Feature 10014,49, and,1.7466819286346436
Feature 10015,16, Than,2.641836881637573
Feature 10015,26, Than,2.0228111743927
Feature 10017,16, cheek,0.782645583152771
Feature 10017,16, gr,0.8952112793922424
Feature 10017,16,y,1.101739525794983
Feature 10017,45, socially,0.6583194732666016
Feature 10018,1, his,9.648808479309082
Feature 10018,1, my,7.84107780456543
Feature 10018,1, your,10.628387451171877
Feature 10018,2, your,8.942915916442871
Feature 10018,5, your,8.342798233032227
Feature 10018,6, my,12.225112915039062
Feature 10018,7, your,7.21883487701416
Feature 10018,9, their,9.51037883758545
Feature 10018,10, Its,0.7818416953086853
Feature 10018,10, your,10.573192596435549
Feature 10018,11, my,8.581854820251465
Feature 10018,12, my,9.290694236755373
Feature 10018,13, my,9.593785285949709
Feature 10018,15, its,2.908850908279419
Feature 10018,15, my,10.549860000610352
Feature 10018,16, their,9.441070556640623
Feature 10018,18, your,9.285527229309082
Feature 10018,19, my,9.263218879699709
Feature 10018,20, my,9.838493347167969
Feature 10018,23, my,11.338858604431152
Feature 10018,24, their,10.282674789428713
Feature 10018,25, my,11.689611434936523
Feature 10018,26, my,9.28748893737793
Feature 10018,28, my,8.391839027404785
Feature 10018,31, my,8.69774055480957
Feature 10018,32, my,12.40647315979004
Feature 10018,32, your,9.344568252563477
Feature 10018,35, our,11.271162986755373
Feature 10018,38, their,11.558462142944336
Feature 10018,39, your,10.522719383239746
Feature 10018,39,Its,2.332709312438965
Feature 10018,40, my,9.642789840698242
Feature 10018,41, My,7.379817008972168
Feature 10018,41, my,8.601211547851562
Feature 10018,42, my,10.957878112792969
Feature 10018,43, its,4.66414737701416
Feature 10018,46, my,11.094636917114258
Feature 10018,47, my,7.775682926177978
Feature 10018,47, your,9.63058376312256
Feature 10018,49, my,7.781476497650146
Feature 10018,50, its,1.1575828790664673
Feature 10018,50, my,10.78639030456543
Feature 10018,50, your,10.57026481628418
Feature 10021,50, that,1.4732284545898438
Feature 10029,35, will,0.7339097857475281
